time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,84,700,2000,240,2.5,300,101
4.5,5.4,dur,6,11,12,100,2000,240,3.4000000000000004,408,26
9.9,6.3,dur,7,18,180,1500,2000,240,4.3,516,20
16.2,4.5,dur,5,23,12,100,2000,240,2.5,300,62
20.7,5.4,dur,6,29,57,475,2000,240,3.4000000000000004,408,99
26.1,4.5,dur,5,34,9,75,2000,240,2.5,300,121
30.6,4.5,dur,5,39,27,225,2000,240,2.5,300,155
35.1,5.4,dur,6,45,9,75,2000,240,3.4000000000000004,408,126
40.5,9.0,dur,10,55,84,700,2000,240,7.0,840,23
49.5,5.4,dur,6,61,6,50,2000,240,3.4000000000000004,408,84
54.9,6.3,dur,7,68,123,1025,2000,240,4.3,516,117
61.2,9.0,dur,10,78,12,100,2000,240,7.0,840,56
70.2,5.4,dur,6,84,57,475,2000,240,3.4000000000000004,408,92
75.6,4.5,dur,5,89,27,225,2000,240,2.5,300,147
80.1,4.5,dur,5,94,84,700,2000,240,2.5,300,150
84.6,6.3,dur,7,101,0,0,2000,240,4.3,516,40
90.9,4.5,dur,5,106,18,150,2000,240,2.5,300,71
95.4,5.4,dur,6,112,18,150,2000,240,3.4000000000000004,408,82
100.8,4.5,dur,5,117,84,700,2000,240,2.5,300,32
105.3,6.3,dur,7,124,39,325,2000,240,4.3,516,7
111.6,5.4,dur,6,130,0,0,2000,240,3.4000000000000004,408,66
117.0,8.1,dur,9,139,6,50,2000,240,6.1,732,35
125.1,6.3,dur,7,146,39,325,2000,240,4.3,516,36
131.4,4.5,dur,5,151,57,475,2000,240,2.5,300,141
135.9,7.2,dur,8,159,57,475,2000,240,5.2,624,152
143.1,4.5,dur,5,164,27,225,2000,240,2.5,300,102
147.6,9.0,dur,10,174,0,0,2000,240,7.0,840,91
156.6,7.2,dur,8,182,180,1500,2000,240,5.2,624,148
163.8,6.3,dur,7,189,0,0,2000,240,4.3,516,119
170.1,4.5,dur,5,194,0,0,2000,240,2.5,300,79
174.6,7.2,dur,8,202,12,100,2000,240,5.2,624,116
181.8,4.5,dur,5,207,0,0,2000,240,2.5,300,61
186.3,5.4,dur,6,213,27,225,2000,240,3.4000000000000004,408,144
191.7,4.5,dur,5,218,27,225,2000,240,2.5,300,44
196.2,9.9,dur,11,229,123,1025,2000,240,7.9,948,156
206.1,4.5,dur,5,234,6,50,2000,240,2.5,300,22
210.6,4.5,dur,5,239,180,1500,2000,240,2.5,300,80
215.1,4.5,dur,5,244,39,325,2000,240,2.5,300,90
219.6,4.5,dur,5,249,12,100,2000,240,2.5,300,107
224.1,4.5,dur,5,254,39,325,2000,240,2.5,300,134
228.6,9.9,dur,11,265,6,50,2000,240,7.9,948,27
238.5,4.5,dur,5,270,6,50,2000,240,2.5,300,108
243.0,4.5,dur,5,275,84,700,2000,240,2.5,300,68
247.5,5.4,dur,6,281,123,1025,2000,240,3.4000000000000004,408,21
252.9,4.5,dur,5,286,18,150,2000,240,2.5,300,45
257.4,7.2,dur,8,294,57,475,2000,240,5.2,624,4
264.6,4.5,dur,5,299,180,1500,2000,240,2.5,300,115
269.1,9.0,dur,10,309,9,75,2000,240,7.0,840,3
278.1,4.5,dur,5,314,123,1025,2000,240,2.5,300,138
282.6,4.5,dur,5,319,180,1500,2000,240,2.5,300,48
287.1,4.5,dur,5,324,0,0,2000,240,2.5,300,83
291.6,4.5,dur,5,329,9,75,2000,240,2.5,300,104
296.1,4.5,dur,5,334,18,150,2000,240,2.5,300,130
300.6,4.5,dur,5,339,39,325,2000,240,2.5,300,146
305.1,4.5,dur,5,344,18,150,2000,240,2.5,300,12
309.6,4.5,dur,5,349,9,75,2000,240,2.5,300,100
314.1,4.5,dur,5,354,0,0,2000,240,2.5,300,109
318.6,5.4,dur,6,360,123,1025,2000,240,3.4000000000000004,408,6
