time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,4.5,dur,5,5,57,475,1500,180,3.0,360,54
4.5,4.5,dur,5,10,39,325,1500,180,3.0,360,147
9.0,8.1,dur,9,19,84,700,1500,180,6.6,792,49
17.1,6.3,dur,7,26,0,0,1500,180,4.8,576,112
23.4,4.5,dur,5,31,84,700,1500,180,3.0,360,12
27.9,9.0,dur,10,41,84,700,1500,180,7.5,900,88
36.9,4.5,dur,5,46,6,50,1500,180,3.0,360,51
41.4,4.5,dur,5,51,12,100,1500,180,3.0,360,140
45.9,4.5,dur,5,56,0,0,1500,180,3.0,360,42
50.4,4.5,dur,5,61,12,100,1500,180,3.0,360,4
54.9,7.2,dur,8,69,12,100,1500,180,5.7,684,73
62.1,8.1,dur,9,78,57,475,1500,180,6.6,792,43
70.2,4.5,dur,5,83,9,75,1500,180,3.0,360,130
74.7,8.1,dur,9,92,0,0,1500,180,6.6,792,90
82.8,4.5,dur,5,97,18,150,1500,180,3.0,360,105
87.3,4.5,dur,5,102,18,150,1500,180,3.0,360,137
91.8,8.1,dur,9,111,180,1500,1500,180,6.6,792,56
99.9,4.5,dur,5,116,12,100,1500,180,3.0,360,48
104.4,4.5,dur,5,121,84,700,1500,180,3.0,360,95
108.9,6.3,dur,7,128,57,475,1500,180,4.8,576,114
115.2,4.5,dur,5,133,27,225,1500,180,3.0,360,115
119.7,9.0,dur,10,143,18,150,1500,180,7.5,900,86
128.7,4.5,dur,5,148,9,75,1500,180,3.0,360,36
133.2,4.5,dur,5,153,27,225,1500,180,3.0,360,102
137.7,7.2,dur,8,161,6,50,1500,180,5.7,684,150
144.9,4.5,dur,5,166,9,75,1500,180,3.0,360,71
149.4,4.5,dur,5,171,123,1025,1500,180,3.0,360,120
153.9,4.5,dur,5,176,57,475,1500,180,3.0,360,96
158.4,5.4,dur,6,182,6,50,1500,180,3.9000000000000004,468,97
163.8,6.3,dur,7,189,0,0,1500,180,4.8,576,15
170.1,4.5,dur,5,194,27,225,1500,180,3.0,360,92
174.6,4.5,dur,5,199,84,700,1500,180,3.0,360,121
179.1,6.3,dur,7,206,12,100,1500,180,4.8,576,5
185.4,5.4,dur,6,212,180,1500,1500,180,3.9000000000000004,468,7
190.8,6.3,dur,7,219,39,325,1500,180,4.8,576,46
197.1,8.1,dur,9,228,180,1500,1500,180,6.6,792,156
205.2,4.5,dur,5,233,123,1025,1500,180,3.0,360,28
209.7,5.4,dur,6,239,6,50,1500,180,3.9000000000000004,468,117
215.1,4.5,dur,5,244,57,475,1500,180,3.0,360,66
219.6,5.4,dur,6,250,123,1025,1500,180,3.9000000000000004,468,45
225.0,4.5,dur,5,255,123,1025,1500,180,3.0,360,9
229.5,7.2,dur,8,263,27,225,1500,180,5.7,684,78
236.7,4.5,dur,5,268,27,225,1500,180,3.0,360,16
241.2,4.5,dur,5,273,123,1025,1500,180,3.0,360,27
245.7,5.4,dur,6,279,180,1500,1500,180,3.9000000000000004,468,157
251.1,4.5,dur,5,284,0,0,1500,180,3.0,360,35
255.6,5.4,dur,6,290,9,75,1500,180,3.9000000000000004,468,109
261.0,9.9,dur,11,301,9,75,1500,180,8.4,1008,53
270.9,5.4,dur,6,307,39,325,1500,180,3.9000000000000004,468,38
276.3,4.5,dur,5,312,0,0,1500,180,3.0,360,123
280.8,5.4,dur,6,318,180,1500,1500,180,3.9000000000000004,468,116
286.2,6.3,dur,7,325,6,50,1500,180,4.8,576,17
292.5,6.3,dur,7,332,18,150,1500,180,4.8,576,21
298.8,4.5,dur,5,337,0,0,1500,180,3.0,360,32
303.3,5.4,dur,6,343,0,0,1500,180,3.9000000000000004,468,77
308.7,4.5,dur,5,348,18,150,1500,180,3.0,360,135
313.2,5.4,dur,6,354,39,325,1500,180,3.9000000000000004,468,8
318.6,5.4,dur,6,360,39,325,1500,180,3.9000000000000004,468,10
